0	0.197	59
59	0.297	148
148	0.383	263
263	0.923	540
540	0.287	626
626	0.660	824
824	0.453	960
960	0.243	1033
1033	0.223	1100
1100	0.450	1235
1235	0.313	1329
1329	0.997	1628
1628	0.463	1767
1767	1.207	2129
2129	0.940	2411
2411	0.460	2549
2549	1.177	2902
2902	0.907	3174
3174	0.910	3447
3447	0.907	3719
3719	0.460	3857
3857	1.213	4221
4221	0.960	4509
4509	0.457	4646
4646	1.120	4982
4982	1.007	5284
5284	0.917	5559
5559	0.923	5836
5836	0.943	6119
6119	0.323	6216
6216	0.273	6298
6298	1.080	6622
6622	0.977	6915
6915	0.490	7062
7062	1.200	7422
7422	0.947	7706
7706	0.910	7979
7979	0.557	8146
8146	0.347	8250
8250	0.457	8387
8387	1.213	8751
