0	0.457	137
137	0.677	340
340	0.683	545
545	0.680	749
749	0.683	954
954	0.697	1163
1163	0.703	1374
1374	0.707	1586
1586	0.717	1801
1801	0.720	2017
2017	0.720	2233
2233	0.720	2449
2449	0.713	2663
2663	0.710	2876
2876	0.360	2984
2984	0.347	3088
3088	0.707	3300
3300	0.713	3514
3514	0.720	3730
3730	0.727	3948
3948	0.737	4169
4169	0.743	4392
4392	0.743	4615
4615	0.733	4835
4835	0.733	5055
5055	0.730	5274
5274	0.723	5491
5491	0.723	5708
5708	0.713	5922
5922	0.710	6135
6135	0.713	6349
6349	0.710	6562
6562	0.710	6775
6775	0.710	6988
6988	0.717	7203
7203	0.710	7416
7416	0.700	7626
7626	0.700	7836
7836	0.703	8047
8047	0.693	8255
8255	0.697	8464
8464	0.693	8672
8672	0.700	8882
8882	0.697	9091
9091	0.703	9302
9302	0.703	9513
9513	0.693	9721
9721	0.690	9928
9928	0.693	10136
10136	0.690	10343
10343	0.697	10552
10552	0.703	10763
10763	0.710	10976
10976	0.717	11191
11191	0.717	11406
11406	0.723	11623
11623	0.713	11837
11837	0.710	12050
12050	0.700	12260
12260	0.693	12468
12468	0.693	12676
12676	0.697	12885
12885	0.693	13093
13093	0.700	13303
13303	0.697	13512
13512	0.693	13720
13720	0.700	13930
13930	0.697	14139
14139	0.700	14349
14349	0.697	14558
14558	0.703	14769
14769	0.710	14982
14982	0.710	15195
15195	0.713	15409
15409	0.710	15622
15622	0.703	15833
15833	0.707	16045
16045	0.697	16254
16254	0.700	16464
16464	0.703	16675
16675	0.707	16887
16887	0.717	17102
17102	0.723	17319
17319	0.730	17538
