,0
0,-5
1,-8
2,-11
3,-15
4,-18
5,-21
6,-24
7,-26
8,-29
9,-33
10,-41
11,-48
12,-51
13,-54
14,-56
15,-59
16,-62
17,-64
18,-64
19,-61
20,-56
21,-50
22,-44
23,-36
24,-28
25,-20
26,-13
27,-7
28,-1
29,3
30,7
31,10
32,13
33,15
34,17
35,18
36,19
37,20
38,21
39,21
40,21
41,22
42,22
43,23
44,23
45,24
46,24
47,25
48,25
49,26
50,26
51,26
52,26
53,25
54,25
55,24
56,23
57,22
58,21
59,20
60,19
61,18
62,17
63,16
64,16
65,15
66,14
67,13
68,12
69,11
70,9
71,6
72,3
73,0
74,-3
75,-5
76,-7
77,-9
78,-12
79,-15
80,-19
81,-29
82,-51
83,-92
84,-139
85,-192
86,-249
87,-307
88,-361
89,-403
90,-407
91,-386
92,-313
93,-201
94,-66
95,64
96,156
97,186
98,185
99,147
100,97
101,56
102,35
103,18
104,7
105,6
106,5
107,4
108,3
109,3
110,3
111,4
112,4
113,4
114,5
115,5
116,2
117,0
118,0
119,0
120,-1
121,-1
122,-2
123,-2
124,-3
125,-4
126,-5
127,-5
128,-5
129,-5
130,-6
131,-6
132,-7
133,-8
134,-9
135,-10
136,-11
137,-13
138,-15
139,-18
140,-21
141,-23
142,-27
143,-34
144,-42
145,-50
146,-57
147,-62
148,-65
149,-68
150,-71
151,-75
152,-78
153,-81
154,-83
155,-86
156,-89
157,-93
158,-99
159,-106
160,-113
161,-121
162,-131
163,-142
164,-152
165,-159
166,-167
167,-174
168,-182
169,-192
170,-203
171,-213
172,-220
173,-224
174,-228
175,-231
176,-234
177,-233
178,-229
179,-221
180,-208
181,-185
182,-161
183,-137
184,-120
185,-106
186,-92
187,-77
188,-63
189,-47
190,-33
191,-22
192,-11
193,0
194,12
195,26
196,38
197,42
198,44
199,46
200,48
201,50
202,51
203,52
204,53
205,54
206,55
207,55
208,56
209,55
210,55
211,55
212,54
213,54
214,53
215,52
216,51
217,50
218,48
219,47
220,46
221,44
222,42
223,41
224,40
225,38
226,37
227,36
228,36
229,35
230,35
231,35
232,34
233,34
234,34
235,33
236,33
237,32
238,31
239,31
240,30
241,30
242,29
243,29
244,28
245,28
246,28
247,28
248,27
249,26
250,25
251,25
252,24
253,24
254,24
255,24
256,23
257,23
258,23
259,24
260,24
261,24
262,24
263,24
264,25
265,25
266,25
267,24
268,24
269,23
270,23
271,23
272,24
273,24
274,25
275,25
276,25
277,26
278,26
279,27
280,26
