,0
0,103
1,98
2,92
3,84
4,73
5,63
6,52
7,42
8,32
9,24
10,16
11,10
12,3
13,-1
14,-4
15,-8
16,-12
17,-15
18,-19
19,-28
20,-43
21,-62
22,-73
23,-81
24,-76
25,-40
26,44
27,183
28,380
29,627
30,906
31,1180
32,1406
33,1514
34,1511
35,1383
36,1114
37,783
38,448
39,167
40,-24
41,-124
42,-138
43,-142
44,-146
45,-153
46,-161
47,-176
48,-189
49,-193
50,-195
51,-196
52,-197
53,-198
54,-198
55,-198
56,-198
57,-199
58,-198
59,-197
60,-195
61,-193
62,-190
63,-187
64,-184
65,-179
66,-174
67,-168
68,-163
69,-159
70,-156
71,-154
72,-151
73,-149
74,-146
75,-143
76,-140
77,-138
78,-135
79,-133
80,-131
81,-129
82,-128
83,-127
84,-126
85,-125
86,-123
87,-122
88,-120
89,-119
90,-118
91,-117
92,-116
93,-115
94,-114
95,-113
96,-111
97,-109
98,-103
99,-98
100,-92
101,-83
102,-70
103,-59
104,-50
105,-40
106,-26
107,-7
108,12
109,33
110,56
111,76
112,93
113,109
114,124
115,137
116,143
117,147
118,149
119,151
120,151
121,150
122,148
123,144
124,140
125,134
126,124
127,114
128,111
129,108
130,106
131,105
132,104
133,103
134,102
135,102
136,101
137,101
138,100
139,100
140,100
141,100
142,100
143,100
144,99
145,98
146,98
147,97
148,97
149,96
150,95
151,94
152,93
153,93
154,93
155,92
156,92
157,91
158,91
159,90
160,89
161,88
162,87
163,86
164,84
165,83
166,83
167,82
168,82
169,81
170,81
171,81
172,82
173,82
174,82
175,82
176,82
177,82
178,82
179,82
180,82
181,82
182,83
183,84
184,85
185,86
186,88
187,90
188,91
189,93
190,94
191,96
192,103
193,108
194,112
195,114
196,115
197,117
198,118
199,120
200,121
201,123
202,124
203,126
204,127
205,129
206,130
207,132
208,134
209,136
210,139
211,141
212,141
213,140
214,137
215,134
216,129
217,117
218,102
219,89
220,78
221,69
222,63
223,55
224,42
225,32
226,27
227,23
228,19
229,15
230,10
231,0
232,-14
233,-37
234,-59
235,-66
236,-61
237,-44
238,25
239,151
240,340
241,585
242,866
243,1151
244,1394
245,1526
246,1531
247,1429
248,1176
249,851
250,520
251,240
252,44
253,-63
254,-94
255,-104
256,-112
257,-120
258,-134
259,-151
260,-160
261,-165
262,-169
263,-171
264,-172
265,-170
266,-167
267,-163
268,-159
269,-157
270,-156
271,-154
272,-152
273,-151
274,-149
275,-148
276,-147
277,-145
278,-143
279,-141
280,-140
281,-139
282,-137
283,-136
284,-135
285,-134
286,-133
287,-132
288,-131
289,-130
290,-129
291,-129
292,-128
293,-127
294,-127
295,-126
296,-125
297,-125
298,-124
299,-124
300,-123
301,-122
302,-122
303,-122
304,-122
305,-122
306,-122
307,-121
308,-121
309,-120
310,-119
311,-117
312,-115
313,-110
314,-97
315,-84
316,-70
317,-55
318,-38
319,-18
320,0
321,17
322,34
323,51
324,67
325,81
326,97
327,105
328,110
329,114
330,116
331,117
332,116
333,113
334,109
335,104
336,97
337,87
338,80
339,76
340,73
341,71
342,70
343,69
344,67
345,65
346,63
347,61
348,59
349,57
350,54
351,52
352,50
353,48
354,45
355,43
356,40
357,38
358,36
359,34
360,32
361,29
362,27
363,26
364,25
365,24
366,23
367,22
368,22
369,21
370,21
371,20
372,19
373,18
374,17
375,16
376,15
377,15
378,14
379,13
380,12
381,10
382,9
383,8
384,7
385,6
386,4
387,2
388,0
389,-2
390,-4
391,-5
392,-6
393,-7
394,-6
395,-5
396,-4
397,-2
398,0
399,2
400,5
401,13
402,22
403,30
404,37
405,42
406,45
407,47
408,49
409,50
410,51
411,52
412,53
413,54
414,56
