,0
0,128
1,78
2,29
3,-28
4,-90
5,-124
6,-135
7,-111
8,-38
9,66
10,161
11,191
12,201
13,193
14,185
15,177
16,179
17,199
18,228
19,257
20,270
21,277
22,282
23,283
24,278
25,269
26,259
27,251
28,244
29,236
30,230
31,228
32,227
33,226
34,225
35,224
36,224
37,223
38,223
39,230
40,243
41,251
42,257
43,262
44,267
45,271
46,272
47,272
48,270
49,268
50,264
51,260
52,255
53,250
54,243
55,236
56,232
57,232
58,237
59,245
60,254
61,262
62,273
63,284
64,292
65,298
66,303
67,307
68,312
69,316
70,320
71,323
72,324
73,322
74,319
75,315
76,309
77,303
78,295
79,283
80,269
81,254
82,236
83,216
84,201
85,186
86,169
87,151
88,128
89,96
90,66
91,44
92,18
93,-7
94,-33
95,-52
96,-59
97,-63
98,-66
99,-68
100,-70
101,-71
102,-73
103,-73
104,-74
105,-75
106,-75
107,-76
108,-76
109,-76
110,-76
111,-75
112,-75
113,-75
114,-75
115,-74
116,-73
117,-72
118,-71
119,-69
120,-68
121,-67
122,-67
123,-66
124,-66
125,-65
126,-66
127,-67
128,-69
129,-71
130,-73
131,-75
132,-76
133,-78
134,-81
135,-83
136,-86
137,-88
138,-89
139,-91
140,-93
141,-95
142,-97
143,-99
144,-101
145,-103
146,-106
147,-109
148,-112
149,-114
150,-116
151,-118
152,-118
153,-119
154,-120
155,-120
156,-119
157,-117
158,-116
159,-114
160,-114
161,-114
162,-114
163,-114
164,-114
165,-114
166,-114
167,-115
168,-115
169,-116
170,-115
171,-115
172,-114
173,-113
174,-114
175,-113
176,-112
177,-111
178,-109
179,-108
180,-107
181,-106
182,-105
183,-104
184,-103
185,-101
186,-100
187,-99
188,-99
189,-98
190,-97
191,-95
192,-94
193,-93
194,-92
195,-92
196,-93
197,-93
198,-93
199,-93
200,-94
201,-94
202,-95
203,-96
204,-97
205,-98
206,-98
207,-99
208,-102
209,-110
210,-110
211,-95
212,-90
213,-87
214,-86
215,-85
216,-85
217,-84
218,-82
219,-80
220,-78
221,-76
222,-74
223,-72
224,-70
225,-67
226,-63
227,-60
228,-57
229,-54
230,-50
231,-47
232,-43
233,-39
234,-35
235,-32
236,-28
237,-26
238,-23
239,-21
240,-20
241,-18
242,-16
243,-13
244,-11
245,-8
246,-7
247,-5
248,-5
249,-5
250,-6
251,-7
252,-9
253,-12
254,-14
255,-16
256,-18
257,-20
258,-22
259,-24
260,-25
261,-26
262,-27
263,-27
264,-30
265,-41
266,-38
267,-12
268,17
269,48
270,70
271,92
272,113
273,127
274,137
275,146
276,153
277,153
278,144
279,131
280,109
281,78
282,29
283,-33
284,-106
285,-147
286,-178
287,-199
288,-198
289,-176
290,-153
291,-129
292,-111
293,-87
294,-55
295,-23
296,16
297,45
298,63
299,75
300,79
301,78
302,76
303,73
304,70
305,68
306,67
307,65
308,64
309,63
310,61
311,59
312,58
313,57
314,58
315,59
316,62
317,66
318,69
319,72
320,74
321,77
322,79
323,83
324,86
325,90
326,94
327,99
328,104
329,109
330,115
331,120
332,124
333,127
334,131
335,135
336,139
337,143
338,148
339,152
340,158
341,164
342,170
343,175
344,180
345,184
346,187
347,190
348,192
349,194
350,197
351,200
352,203
353,207
354,211
355,214
356,216
357,217
358,215
359,212
360,206
361,199
362,191
363,180
364,163
365,144
366,123
367,99
368,73
369,50
370,31
371,14
372,0
373,-16
374,-28
375,-37
376,-45
377,-54
378,-65
379,-76
380,-86
381,-94
382,-101
383,-106
384,-111
385,-115
386,-118
387,-120
388,-120
389,-119
390,-117
391,-115
392,-114
393,-112
394,-110
395,-107
396,-102
397,-98
398,-95
399,-95
400,-96
401,-99
402,-102
403,-105
404,-111
405,-117
406,-117
407,-111
408,-103
409,-99
410,-96
411,-93
412,-91
413,-89
414,-88
415,-86
416,-86
417,-85
418,-85
419,-85
420,-86
421,-88
422,-89
423,-89
424,-90
425,-90
426,-90
427,-90
428,-90
429,-89
430,-88
431,-87
432,-86
433,-86
434,-86
435,-86
436,-86
437,-85
438,-85
439,-84
440,-83
441,-81
442,-78
443,-74
444,-71
445,-70
446,-71
447,-75
448,-78
449,-81
450,-83
451,-86
452,-90
453,-94
454,-97
455,-98
456,-94
457,-87
458,-80
459,-74
460,-69
461,-64
462,-57
463,-51
464,-46
465,-44
466,-46
467,-50
468,-55
469,-59
470,-63
471,-66
472,-69
473,-72
474,-76
475,-79
476,-81
477,-83
478,-85
479,-86
480,-88
481,-88
482,-88
483,-86
484,-83
485,-80
486,-77
487,-73
488,-70
489,-66
490,-61
491,-57
492,-52
493,-48
494,-45
495,-41
496,-36
497,-31
498,-26
499,-21
500,-17
501,-15
502,-14
503,-14
504,-15
505,-16
506,-18
507,-21
508,-23
509,-24
510,-26
511,-27
512,-29
513,-30
514,-32
515,-35
516,-38
517,-41
518,-44
519,-46
520,-48
521,-49
522,-49
523,-48
524,-45
525,-40
526,-34
527,-28
528,-21
529,-14
530,-5
531,14
532,56
533,88
534,110
535,123
536,132
537,141
538,146
539,137
540,116
541,93
542,64
543,43
544,17
545,-15
546,-72
547,-138
548,-216
549,-291
550,-317
551,-301
552,-254
553,-173
554,-114
555,-98
556,-90
557,-82
558,-73
559,-63
560,-55
561,-47
562,-41
563,-36
564,-31
565,-28
566,-25
567,-22
568,-19
569,-13
570,-6
571,2
572,10
573,18
574,24
575,31
576,36
577,41
578,45
579,48
580,51
581,54
582,58
583,62
584,66
585,70
586,74
587,77
588,79
589,82
590,84
591,86
592,87
593,87
594,86
595,85
596,85
597,85
598,85
599,86
600,88
601,90
602,94
603,98
604,104
605,110
606,124
607,142
608,167
609,181
610,192
611,201
612,208
613,214
614,219
615,221
616,220
617,217
618,212
619,206
620,200
621,194
622,186
623,177
624,167
625,155
626,144
627,133
628,120
629,100
630,71
631,49
632,29
633,8
634,-20
635,-37
636,-48
637,-58
638,-66
639,-72
640,-76
641,-78
642,-80
643,-82
644,-83
645,-85
646,-86
647,-87
648,-88
649,-90
650,-93
651,-96
652,-99
653,-100
654,-101
655,-101
656,-101
657,-99
658,-98
659,-95
660,-92
661,-88
662,-85
663,-82
664,-79
665,-76
666,-74
667,-71
668,-68
669,-64
670,-60
671,-55
672,-52
673,-48
674,-45
675,-43
676,-41
677,-40
678,-38
679,-37
680,-34
681,-28
682,-22
683,-23
684,-30
685,-38
686,-42
687,-45
688,-47
689,-49
690,-50
691,-51
692,-53
693,-55
694,-56
695,-58
696,-59
697,-60
698,-61
699,-62
700,-64
701,-65
702,-65
703,-64
704,-63
705,-62
706,-61
707,-61
708,-61
709,-61
710,-61
711,-61
712,-62
713,-65
714,-67
715,-65
716,-61
717,-57
718,-56
719,-54
720,-53
721,-52
722,-51
723,-49
724,-48
725,-47
726,-47
727,-48
728,-48
729,-49
730,-50
731,-52
732,-52
733,-53
734,-53
735,-54
736,-53
737,-53
738,-52
739,-51
740,-50
741,-48
742,-47
743,-46
744,-45
745,-45
746,-44
747,-43
748,-43
749,-42
750,-42
751,-41
752,-40
753,-40
754,-41
755,-42
756,-44
757,-45
758,-46
759,-47
760,-47
761,-48
762,-48
763,-49
764,-49
765,-49
766,-48
767,-49
768,-49
769,-51
770,-51
771,-45
772,-36
773,-25
774,-16
775,-4
776,6
777,12
778,13
779,13
780,11
781,9
782,6
783,2
784,0
785,0
786,0
787,2
788,5
789,8
790,16
791,20
792,16
793,7
794,2
795,-1
796,-5
797,-9
798,-11
799,-13
800,-15
801,-17
802,-18
803,-17
804,-14
805,-9
806,-2
807,5
808,15
809,25
810,41
811,73
812,97
813,128
814,167
815,190
816,205
817,213
818,214
819,208
820,193
821,148
822,80
823,1
824,-73
825,-140
826,-173
827,-196
828,-212
829,-195
830,-140
831,-76
832,-40
833,-23
834,-14
835,-9
836,-5
837,0
838,5
839,13
840,20
841,28
842,36
843,43
844,50
845,57
846,64
847,70
848,74
849,77
850,78
851,80
852,81
853,82
854,83
855,84
856,84
857,85
858,85
859,86
860,87
861,88
862,90
863,92
864,94
865,96
866,98
867,99
868,102
869,104
870,108
871,112
872,116
873,120
874,124
875,129
876,135
877,140
878,145
879,149
880,154
881,159
882,164
883,169
884,175
885,181
886,188
887,196
888,205
889,215
890,223
891,229
892,235
893,240
