,0
0,131
1,130
2,130
3,129
4,127
5,124
6,121
7,116
8,111
9,106
10,102
11,99
12,98
13,96
14,94
15,93
16,91
17,89
18,88
19,87
20,85
21,83
22,82
23,80
24,80
25,80
26,80
27,79
28,78
29,77
30,76
31,75
32,75
33,74
34,72
35,70
36,68
37,65
38,64
39,62
40,60
41,58
42,57
43,55
44,53
45,52
46,50
47,49
48,47
49,44
50,42
51,40
52,38
53,36
54,34
55,31
56,27
57,23
58,20
59,16
60,12
61,9
62,4
63,0
64,-4
65,-8
66,-12
67,-17
68,-22
69,-31
70,-40
71,-48
72,-54
73,-56
74,-54
75,-49
76,-42
77,-35
78,-28
79,-23
80,-17
81,-12
82,-6
83,0
84,6
85,11
86,14
87,17
88,17
89,17
90,17
91,15
92,13
93,8
94,4
95,-1
96,-9
97,-41
98,-117
99,-218
100,-339
101,-469
102,-592
103,-666
104,-670
105,-613
106,-460
107,-246
108,-13
109,194
110,355
111,409
112,427
113,395
114,299
115,207
116,125
117,74
118,45
119,30
120,20
121,11
122,3
123,-6
124,-14
125,-21
126,-28
127,-36
128,-43
129,-50
130,-56
131,-63
132,-70
133,-77
134,-82
135,-87
136,-91
137,-95
138,-99
139,-103
140,-107
141,-110
142,-114
143,-116
144,-119
145,-123
146,-126
147,-130
148,-134
149,-138
150,-143
151,-150
152,-157
153,-165
154,-173
155,-181
156,-190
157,-200
158,-212
159,-228
160,-245
161,-260
162,-275
163,-290
164,-306
165,-322
166,-338
167,-352
168,-365
169,-376
170,-386
171,-394
172,-399
173,-403
174,-407
175,-411
176,-415
177,-419
178,-422
179,-423
180,-421
181,-414
182,-405
183,-393
184,-380
185,-360
186,-341
187,-323
188,-294
189,-255
190,-219
191,-183
192,-147
193,-113
194,-81
195,-49
196,-19
197,12
198,38
199,53
200,69
201,87
202,95
203,101
204,107
205,112
206,116
207,119
208,122
209,125
210,127
211,129
212,130
213,130
214,130
215,131
216,131
217,131
218,130
219,129
220,129
221,129
222,130
223,132
224,133
225,134
226,133
227,130
228,125
229,120
230,116
231,114
232,112
233,110
234,107
235,105
236,104
237,102
238,101
239,99
240,97
241,95
242,93
243,92
244,92
245,91
246,89
247,88
248,87
249,85
250,84
251,83
252,82
253,81
254,80
255,79
256,79
257,79
258,80
259,80
260,80
261,80
262,81
263,81
264,82
265,83
266,83
267,83
268,83
269,84
270,84
271,85
272,86
273,86
274,86
275,85
276,85
277,86
278,86
279,86
280,86
281,86
282,86
283,86
284,86
285,87
286,88
287,89
288,90
289,91
290,91
291,92
292,93
293,93
294,93
295,93
296,92
297,92
298,91
299,91
300,90
301,90
302,90
303,90
304,90
305,90
306,89
307,88
308,86
309,85
310,84
311,83
312,82
313,81
314,80
315,79
316,79
317,79
318,79
319,80
320,82
321,82
322,83
323,83
324,83
325,83
326,83
327,82
328,80
329,79
330,77
331,76
332,76
333,76
334,77
335,78
336,79
337,81
338,82
339,85
340,87
341,88
342,89
343,90
344,92
345,94
346,96
347,98
348,101
349,105
350,110
351,115
352,120
353,124
354,126
355,124
356,119
357,112
358,104
359,96
360,89
361,84
362,79
363,74
364,70
365,66
366,63
367,60
368,57
369,55
370,54
371,52
372,52
373,51
374,51
375,51
376,52
377,52
378,51
379,51
380,51
381,52
382,53
383,55
384,57
385,59
386,59
387,60
388,61
389,61
390,62
391,61
392,60
393,57
394,53
395,50
396,47
397,29
398,-28
399,-110
400,-219
401,-345
402,-470
403,-565
404,-596
405,-573
406,-502
407,-334
408,-122
409,95
410,274
411,385
412,421
413,408
414,369
415,295
416,225
417,164
418,126
419,84
420,41
421,19
422,9
423,2
424,-3
425,-9
426,-14
427,-20
428,-25
429,-31
430,-36
431,-41
432,-48
433,-54
434,-60
435,-66
436,-71
437,-76
438,-81
439,-86
440,-91
441,-96
442,-100
443,-104
444,-107
445,-110
446,-114
447,-117
448,-121
449,-124
450,-127
451,-131
452,-136
453,-141
454,-147
455,-155
456,-168
457,-182
458,-194
459,-205
460,-219
461,-234
462,-249
463,-264
464,-279
465,-293
466,-307
467,-319
468,-330
469,-340
470,-351
471,-365
472,-379
473,-388
474,-396
475,-404
476,-410
477,-414
478,-416
479,-415
480,-411
481,-406
482,-400
483,-392
484,-380
485,-359
486,-341
487,-318
488,-286
489,-250
490,-212
491,-172
492,-135
493,-101
494,-65
495,-29
496,2
497,31
498,58
499,77
500,93
501,111
502,119
503,122
504,126
505,129
506,132
507,134
508,135
509,136
510,138
511,139
512,140
513,140
514,141
515,141
516,141
517,140
518,140
519,139
520,137
521,135
522,133
523,132
524,130
525,127
526,125
527,122
528,119
529,117
530,116
531,114
532,111
533,108
534,104
535,100
536,97
537,95
538,92
539,89
540,85
541,83
542,81
543,79
544,77
545,74
546,72
547,69
548,68
549,67
550,67
551,67
552,67
553,67
554,68
555,70
556,73
557,76
558,78
559,81
560,87
561,91
562,87
563,78
564,72
565,66
566,60
567,56
568,55
569,56
570,59
571,62
572,64
573,66
574,67
575,69
576,72
577,74
578,77
579,78
580,80
581,82
582,83
583,85
584,85
585,85
586,84
