,0
0,105
1,110
2,115
3,120
4,124
5,128
6,131
7,134
8,138
9,141
10,143
11,143
12,143
13,143
14,142
15,142
16,141
17,140
18,139
19,137
20,135
21,132
22,127
23,121
24,112
25,97
26,71
27,46
28,23
29,2
30,-21
31,-33
32,-38
33,-43
34,-46
35,-49
36,-51
37,-54
38,-57
39,-60
40,-63
41,-65
42,-67
43,-69
44,-72
45,-76
46,-85
47,-91
48,-97
49,-100
50,-103
51,-106
52,-109
53,-110
54,-112
55,-112
56,-112
57,-112
58,-112
59,-111
60,-108
61,-105
62,-101
63,-98
64,-95
65,-92
66,-89
67,-86
68,-82
69,-78
70,-75
71,-71
72,-67
73,-64
74,-60
75,-57
76,-54
77,-51
78,-49
79,-48
80,-46
81,-43
82,-41
83,-39
84,-37
85,-36
86,-34
87,-32
88,-31
89,-30
90,-30
91,-30
92,-29
93,-29
94,-29
95,-29
96,-28
97,-27
98,-26
99,-23
100,-20
101,-17
102,-15
103,-12
104,-3
105,22
106,45
107,61
108,71
109,77
110,81
111,86
112,89
113,90
114,87
115,81
116,74
117,67
118,56
119,46
120,37
121,27
122,16
123,5
124,-6
125,-10
126,-13
127,-16
128,-18
129,-20
130,-21
131,-21
132,-22
133,-22
134,-23
135,-24
136,-26
137,-28
138,-29
139,-29
140,-30
141,-30
142,-31
143,-33
144,-35
145,-37
146,-39
147,-42
148,-45
149,-52
150,-68
151,-86
152,-106
153,-124
154,-133
155,-144
156,-138
157,-78
158,69
159,307
160,602
161,900
162,1130
163,1221
164,1148
165,951
166,692
167,428
168,200
169,38
170,-59
171,-123
172,-142
173,-150
174,-155
175,-135
176,-109
177,-87
178,-75
179,-70
180,-67
181,-65
182,-63
183,-62
184,-60
185,-58
186,-56
187,-54
188,-51
189,-48
190,-46
191,-44
192,-42
193,-39
194,-35
195,-31
196,-21
197,-2
198,2
199,5
200,7
201,8
202,10
203,11
204,13
205,16
206,17
207,19
208,21
209,25
210,30
211,43
212,69
213,84
214,90
215,95
216,99
217,103
218,109
219,115
220,120
221,125
222,131
223,139
224,154
225,164
226,172
227,175
228,177
229,179
230,181
231,184
232,186
233,188
234,190
235,191
236,192
237,193
238,193
239,194
240,193
241,193
242,193
243,193
244,195
245,197
246,202
247,201
248,189
249,172
250,150
251,113
252,76
253,54
254,32
255,11
256,-1
257,-7
258,-12
259,-17
260,-24
261,-30
262,-38
263,-50
264,-66
265,-78
266,-85
267,-91
268,-95
269,-98
270,-97
271,-94
272,-89
273,-83
274,-79
275,-75
276,-71
277,-66
278,-64
279,-64
280,-66
281,-68
282,-72
283,-77
284,-89
285,-104
286,-111
287,-116
288,-115
289,-101
290,-92
291,-84
292,-78
293,-72
294,-67
295,-62
296,-54
297,-44
298,-44
299,-56
300,-62
301,-65
302,-69
303,-72
304,-76
305,-78
306,-79
307,-80
308,-81
309,-82
