,0
0,-125
1,-123
2,-118
3,-111
4,-104
5,-94
6,-86
7,-80
8,-72
9,-64
10,-53
11,-47
12,-44
13,-41
14,-38
15,-36
16,-34
17,-32
18,-30
19,-28
20,-25
21,-22
22,-20
23,-16
24,-11
25,-6
26,0
27,5
28,11
29,24
30,44
31,59
32,68
33,77
34,87
35,99
36,112
37,115
38,118
39,121
40,119
41,108
42,98
43,89
44,81
45,75
46,64
47,47
48,33
49,21
50,9
51,0
52,-7
53,-14
54,-21
55,-31
56,-49
57,-58
58,-62
59,-65
60,-67
61,-69
62,-71
63,-72
64,-73
65,-75
66,-76
67,-77
68,-78
69,-79
70,-79
71,-80
72,-81
73,-82
74,-84
75,-86
76,-87
77,-83
78,-76
79,-68
80,-62
81,-56
82,-50
83,-46
84,-44
85,-45
86,-48
87,-54
88,-61
89,-74
90,-97
91,-117
92,-136
93,-153
94,-169
95,-180
96,-189
97,-189
98,-177
99,-159
100,-137
101,-102
102,-64
103,-23
104,15
105,34
106,43
107,49
108,53
109,57
110,60
111,64
112,67
113,72
114,74
115,69
116,58
117,49
118,40
119,32
120,24
121,18
122,13
123,8
124,3
125,0
126,-3
127,-3
128,-3
129,-1
130,1
131,5
132,9
133,15
134,23
135,31
136,40
137,48
138,56
139,66
140,76
141,92
142,113
143,126
144,135
145,143
146,151
147,163
148,180
149,191
150,198
151,204
152,212
153,219
154,226
155,232
156,237
157,242
158,246
159,249
160,252
161,254
162,256
163,259
164,261
165,263
166,263
167,262
168,260
169,256
170,252
171,247
172,241
173,231
174,221
175,213
176,200
177,181
178,166
179,154
180,144
181,132
182,114
183,97
184,76
185,55
186,41
187,31
188,18
189,1
190,-13
191,-24
192,-30
193,-34
194,-37
195,-39
196,-40
197,-41
198,-43
199,-46
200,-49
201,-52
202,-55
203,-57
204,-61
205,-64
206,-68
207,-70
208,-70
209,-69
210,-68
211,-66
212,-64
213,-62
214,-58
215,-59
216,-65
217,-71
218,-77
219,-77
220,-73
221,-70
222,-68
223,-67
224,-66
225,-66
226,-65
227,-65
228,-65
229,-66
230,-67
231,-69
232,-71
233,-73
234,-74
235,-75
236,-77
237,-80
238,-82
239,-83
240,-82
241,-78
242,-74
243,-70
244,-67
245,-64
246,-61
247,-58
248,-56
249,-54
250,-54
251,-54
252,-55
253,-55
254,-56
255,-57
256,-58
257,-59
258,-60
259,-62
260,-62
261,-62
262,-62
263,-61
264,-59
265,-57
266,-55
267,-52
268,-48
269,-46
270,-45
271,-45
272,-46
273,-47
274,-48
275,-50
276,-51
277,-52
278,-53
279,-52
280,-51
281,-50
282,-49
283,-47
284,-46
285,-44
286,-43
287,-43
288,-44
289,-45
290,-46
291,-47
292,-48
293,-48
294,-49
295,-50
296,-50
297,-51
298,-52
299,-52
300,-52
301,-52
302,-52
303,-52
304,-52
305,-51
306,-50
307,-49
308,-48
309,-46
310,-45
311,-43
312,-41
313,-39
314,-37
315,-36
316,-34
317,-31
318,-28
319,-25
320,-23
321,-22
322,-22
323,-21
324,-21
325,-21
326,-21
327,-21
328,-21
329,-21
330,-20
331,-20
332,-19
333,-19
334,-20
335,-20
336,-21
337,-21
338,-22
339,-23
340,-23
341,-20
342,-13
343,-8
344,-5
345,-1
346,0
347,2
348,4
349,5
350,6
351,6
352,6
353,6
354,6
355,6
356,7
357,6
358,-4
359,-15
360,-25
361,-33
362,-39
363,-44
364,-49
365,-52
366,-49
367,-41
368,-34
369,-28
370,-21
371,-15
372,-9
373,-4
374,0
375,4
376,8
377,11
378,14
379,16
380,18
381,19
382,20
383,22
384,24
385,26
386,27
387,29
388,30
389,33
390,40
391,53
392,66
393,78
394,84
395,87
396,90
397,92
398,93
399,93
400,90
401,86
402,80
403,71
404,53
405,34
406,18
407,6
408,-2
409,-13
410,-28
411,-42
412,-49
413,-53
414,-56
415,-58
416,-61
417,-63
418,-65
419,-68
420,-70
421,-71
422,-70
423,-67
424,-62
425,-46
426,-22
427,11
428,56
429,115
430,187
431,266
432,335
433,366
434,366
435,333
436,264
437,178
438,90
439,12
440,-37
441,-54
442,-62
443,-66
444,-73
445,-87
446,-97
447,-101
448,-103
449,-105
450,-106
451,-107
452,-106
453,-105
454,-103
455,-101
456,-98
457,-96
458,-95
459,-93
460,-91
461,-89
462,-87
463,-86
464,-84
465,-82
466,-81
467,-79
468,-77
469,-76
470,-74
471,-72
472,-71
473,-68
474,-65
475,-58
476,-51
477,-47
478,-43
479,-36
480,-23
481,-15
482,-11
483,-8
484,-3
485,1
486,7
487,13
488,22
489,28
490,32
491,39
492,51
493,64
494,76
495,82
496,85
497,88
498,90
499,91
500,91
501,91
502,89
503,87
504,84
505,80
506,75
507,65
508,56
509,47
510,37
511,26
512,15
513,4
514,-5
515,-13
516,-19
517,-24
518,-29
519,-33
520,-38
521,-42
522,-46
523,-48
524,-50
525,-51
526,-53
527,-55
528,-57
529,-58
530,-59
531,-57
532,-53
533,-49
534,-45
535,-39
536,-34
537,-34
538,-36
539,-39
540,-41
541,-44
542,-46
543,-48
544,-50
545,-51
546,-51
547,-49
548,-46
549,-44
550,-41
551,-38
552,-34
553,-30
554,-26
555,-23
556,-19
557,-17
558,-15
559,-14
560,-12
561,-11
562,-10
563,-10
564,-9
565,-9
566,-8
567,-7
568,-6
569,-6
570,-6
571,-7
572,-7
573,-8
574,-8
575,-10
576,-11
577,-12
578,-13
579,-14
580,-15
581,-15
582,-16
583,-16
584,-17
585,-17
586,-17
587,-19
588,-22
589,-23
590,-20
591,-16
592,-11
593,-8
594,-7
595,-5
596,-4
597,-3
598,-1
599,0
600,2
601,4
602,6
603,8
604,10
605,11
606,12
607,14
608,16
609,18
610,26
611,39
612,42
613,44
614,45
615,47
616,48
617,50
618,52
619,54
620,57
621,59
622,61
623,64
624,66
625,69
626,74
627,78
628,77
629,72
630,65
631,57
632,46
633,32
634,26
635,23
636,20
637,17
638,15
639,12
640,9
641,7
642,6
643,5
644,5
645,5
646,5
647,6
648,7
649,9
650,11
651,14
652,16
653,19
654,30
655,63
656,115
657,188
658,275
659,365
660,445
661,490
662,505
663,487
664,433
665,337
666,226
667,124
668,54
669,19
670,5
671,-6
672,-22
673,-38
674,-45
675,-49
676,-52
677,-53
678,-54
679,-54
680,-55
681,-55
682,-55
