1.392,348.0,N
0.932,581.0,N
0.516,710.0,N
1.172,1003.0,N
0.712,1181.0,N
1.1,1456.0,N
0.9,1681.0,N
0.708,1858.0,N
0.788,2055.0,N
1.448,2417.0,N
1.048,2679.0,N
0.7,2854.0,N
1.104,3130.0,N
0.828,3337.0,N
0.992,3585.0,N
0.868,3802.0,N
0.972,4045.0,N
0.984,4291.0,N
1.124,4572.0,N
0.7,4747.0,N
0.884,4968.0,N
0.728,5150.0,N
0.768,5342.0,N
0.816,5546.0,N
1.18,5841.0,N
0.956,6080.0,N
0.82,6285.0,N
1.148,6572.0,N
0.488,6694.0,N
0.912,6922.0,N
1.088,7194.0,N
0.776,7388.0,N
0.848,7600.0,N
0.9,7825.0,N
1.308,8152.0,N
0.536,8286.0,N
0.968,8528.0,N
1.364,8869.0,N
0.704,9045.0,N
0.984,9291.0,N
0.52,9421.0,N
1.336,9755.0,N
0.712,9933.0,N
1.168,10225.0,N
0.692,10398.0,N
0.624,10554.0,N
1.108,10831.0,N
0.524,10962.0,N
0.924,11193.0,N
0.696,11367.0,N
0.608,11519.0,N
0.88,11739.0,N
0.532,11872.0,N
0.952,12110.0,N
1.144,12396.0,N
0.512,12524.0,N
1.08,12794.0,N
1.12,13074.0,N
0.484,13195.0,N
0.696,13369.0,N
0.776,13563.0,N
0.612,13716.0,N
0.74,13901.0,N
0.996,14150.0,N
0.48,14270.0,N
0.868,14487.0,N
0.62,14642.0,N
0.896,14866.0,N
0.66,15031.0,N
0.74,15216.0,N
0.536,15350.0,N
0.996,15599.0,N
0.756,15788.0,N
0.636,15947.0,N
0.9,16172.0,N
0.9,16397.0,N
0.2,16447.0,N
1.24,16757.0,N
0.956,16996.0,N
0.728,17178.0,N
0.652,17341.0,N
0.688,17513.0,N
0.968,17755.0,N
0.896,17979.0,N
0.828,18186.0,N
0.94,18421.0,N
0.916,18650.0,N
0.688,18822.0,N
1.336,19156.0,N
0.472,19274.0,N
0.992,19522.0,N
0.612,19675.0,N
1.364,20016.0,N
0.888,20238.0,N
0.876,20457.0,N
0.628,20614.0,N
0.756,20803.0,N
0.784,20999.0,N
0.876,21218.0,N
1.216,21522.0,N
0.516,21651.0,N
1.204,21952.0,N
0.888,22174.0,N
0.728,22356.0,N
0.732,22539.0,N
1.34,22874.0,N
0.852,23087.0,N
1.104,23363.0,N
0.708,23540.0,N
0.812,23743.0,N
0.944,23979.0,N
0.96,24219.0,N
0.556,24358.0,N
0.692,24531.0,N
0.976,24775.0,N
0.64,24935.0,N
0.968,25177.0,N
0.996,25426.0,N
0.692,25599.0,N
0.984,25845.0,N
0.508,25972.0,N
1.12,26252.0,N
0.688,26424.0,N
0.732,26607.0,N
1.088,26879.0,N
0.524,27010.0,N
0.872,27228.0,N
0.652,27391.0,N
0.772,27584.0,N
0.524,27715.0,N
1.22,28020.0,N
0.8,28220.0,N
1.084,28491.0,N
0.484,28612.0,N
0.832,28820.0,N
0.5,28945.0,N
0.988,29192.0,N
0.876,29411.0,N
0.856,29625.0,N
0.556,29764.0,N
1.024,30020.0,N
