"","RR","samp","afib","rmean","rsec","trans"
"1",0.588,492,"N",0.588,0.588,3
"2",1.072,760,"N",0.709,1.66,1
"3",0.62,915,"N",0.68675,2.28,3
"4",0.368,1007,"N",0.6070625,2.648,2
"5",0.7,1182,"N",0.630296875,3.348,3
"6",0.612,1335,"N",0.62572265625,3.96,3
"7",0.596,1484,"N",0.6182919921875,4.556,3
"8",0.596,1633,"N",0.612718994140625,5.152,3
"9",0.592,1781,"N",0.607539245605469,5.744,3
"10",0.588,1928,"N",0.602654434204102,6.332,3
"11",0.592,2076,"N",0.599990825653076,6.924,3
"12",0.596,2225,"N",0.598993119239807,7.52,3
"13",0.596,2374,"N",0.598244839429855,8.116,3
"14",0.592,2522,"N",0.596683629572392,8.708,3
"15",0.592,2670,"N",0.595512722179294,9.3,3
"16",0.588,2817,"N",0.59363454163447,9.888,3
"17",0.592,2965,"N",0.593225906225853,10.48,3
"18",0.584,3111,"N",0.590919429669389,11.064,3
"19",0.592,3259,"N",0.591189572252042,11.656,3
"20",0.584,3405,"N",0.589392179189032,12.24,3
"21",0.592,3553,"N",0.590044134391774,12.832,3
"22",0.588,3700,"N",0.58953310079383,13.42,3
"23",0.592,3848,"N",0.590149825595373,14.012,3
"24",0.592,3996,"N",0.590612369196529,14.604,3
"25",0.588,4143,"N",0.589959276897397,15.192,3
"26",0.584,4289,"N",0.588469457673048,15.776,3
"27",0.584,4435,"N",0.587352093254786,16.36,3
"28",0.584,4581,"N",0.586514069941089,16.944,3
"29",0.588,4728,"N",0.586885552455817,17.532,3
"30",0.588,4875,"N",0.587164164341863,18.12,3
"31",0.588,5022,"N",0.587373123256397,18.708,3
"32",0.592,5170,"N",0.588529842442298,19.3,3
"33",0.584,5316,"N",0.587397381831723,19.884,3
"34",0.584,5462,"N",0.586548036373793,20.468,3
"35",0.584,5608,"N",0.585911027280344,21.052,3
"36",0.588,5755,"N",0.586433270460258,21.64,3
"37",0.588,5902,"N",0.586824952845194,22.228,3
"38",0.584,6048,"N",0.586118714633895,22.812,3
"39",0.58,6193,"N",0.584589035975421,23.392,3
"40",0.368,6285,"N",0.530441776981566,23.76,2
"41",0.696,6459,"N",0.571831332736175,24.456,1
"42",0.616,6613,"N",0.582873499552131,25.072,3
"43",0.6,6763,"N",0.587155124664098,25.672,3
"44",0.592,6911,"N",0.588366343498074,26.264,3
"45",0.588,7058,"N",0.588274757623555,26.852,3
"46",0.588,7205,"N",0.588206068217667,27.44,3
"47",0.584,7351,"N",0.58715455116325,28.024,3
"48",0.58,7496,"N",0.585365913372437,28.604,3
"49",0.584,7642,"N",0.585024435029328,29.188,3
"50",0.476,7761,"N",0.557768326271996,29.664,3
"51",0.668,7928,"N",0.585326244703997,30.332,3
"52",0.592,8076,"N",0.586994683527998,30.924,3
"53",0.588,8223,"N",0.587246012645998,31.512,3
"54",0.584,8369,"N",0.586434509484499,32.096,3
"55",0.588,8516,"N",0.586825882113374,32.684,3
"56",0.584,8662,"N",0.586119411585031,33.268,3
"57",0.588,8809,"N",0.586589558688773,33.856,3
"58",0.584,8955,"N",0.58594216901658,34.44,3
"59",0.588,9102,"N",0.586456626762435,35.028,3
"60",0.588,9249,"N",0.586842470071826,35.616,3
"61",0.584,9395,"N",0.58613185255387,36.2,3
"62",0.588,9542,"N",0.586598889415402,36.788,3
"63",0.372,9635,"N",0.532949167061552,37.16,2
"64",0.692,9808,"N",0.572711875296164,37.852,1
"65",0.608,9960,"N",0.581533906472123,38.46,3
"66",0.588,10107,"N",0.583150429854092,39.048,3
"67",0.324,10188,"N",0.518362822390569,39.372,2
"68",0.26,10253,"N",0.453772116792927,39.632,2
"69",0.58,10398,"N",0.485329087594695,40.212,1
"70",0.58,10543,"N",0.508996815696021,40.792,3
"71",0.608,10695,"N",0.533747611772016,41.4,3
"72",0.552,10833,"N",0.538310708829012,41.952,3
"73",0.472,10951,"N",0.521733031621759,42.424,3
"74",0.66,11116,"N",0.556299773716319,43.084,1
"75",0.6,11266,"N",0.567224830287239,43.684,3
"76",0.58,11411,"N",0.57041862271543,44.264,3
"77",0.58,11556,"N",0.572813967036572,44.844,3
"78",0.58,11701,"N",0.574610475277429,45.424,3
"79",0.58,11846,"N",0.575957856458072,46.004,3
"80",0.584,11992,"N",0.577968392343554,46.588,3
"81",0.58,12137,"N",0.578476294257666,47.168,3
"82",0.58,12282,"N",0.578857220693249,47.748,3
"83",0.584,12428,"N",0.580142915519937,48.332,3
"84",0.58,12573,"N",0.580107186639953,48.912,3
"85",0.584,12719,"N",0.581080389979964,49.496,3
"86",0.584,12865,"N",0.581810292484973,50.08,3
"87",0.584,13011,"N",0.58235771936373,50.664,3
"88",0.58,13156,"N",0.581768289522798,51.244,3
"89",0.58,13301,"N",0.581326217142098,51.824,3
"90",0.58,13446,"N",0.580994662856574,52.404,3
"91",0.58,13591,"N",0.58074599714243,52.984,3
"92",0.576,13735,"N",0.579559497856823,53.56,3
"93",0.368,13827,"N",0.526669623392617,53.928,2
"94",0.7,14002,"N",0.570002217544463,54.628,1
"95",0.608,14154,"N",0.579501663158347,55.236,3
"96",0.584,14300,"N",0.58062624736876,55.82,3
"97",0.588,14447,"N",0.58246968552657,56.408,3
"98",0.58,14592,"N",0.581852264144928,56.988,3
"99",0.58,14737,"N",0.581389198108696,57.568,3
"100",0.584,14883,"N",0.582041898581522,58.152,3
"101",0.584,15029,"N",0.582531423936141,58.736,3
"102",0.588,15176,"N",0.583898567952106,59.324,3
"103",0.588,15323,"N",0.584923925964079,59.912,3
"104",0.588,15470,"N",0.58569294447306,60.5,3
"105",0.58,15615,"N",0.584269708354795,61.08,3
"106",0.584,15761,"N",0.584202281266096,61.664,3
"107",0.584,15907,"N",0.584151710949572,62.248,3
"108",0.58,16052,"N",0.583113783212179,62.828,3
"109",0.58,16197,"N",0.582335337409134,63.408,3
"110",0.576,16341,"N",0.580751503056851,63.984,3
"111",0.572,16484,"N",0.578563627292638,64.556,3
"112",0.58,16629,"N",0.578922720469479,65.136,3
"113",0.58,16774,"N",0.579192040352109,65.716,3
"114",0.588,16921,"N",0.581394030264082,66.304,3
"115",0.58,17066,"N",0.581045522698061,66.884,3
"116",0.58,17211,"N",0.580784142023546,67.464,3
"117",0.576,17355,"N",0.579588106517659,68.04,3
"118",0.576,17499,"N",0.578691079888245,68.616,3
"119",0.584,17645,"N",0.580018309916184,69.2,3
"120",0.58,17790,"N",0.580013732437138,69.78,3
"121",0.58,17935,"N",0.580010299327853,70.36,3
"122",0.58,18080,"N",0.58000772449589,70.94,3
"123",0.584,18226,"N",0.581005793371917,71.524,3
"124",0.58,18371,"N",0.580754345028938,72.104,3
"125",0.58,18516,"N",0.580565758771704,72.684,3
"126",0.58,18661,"N",0.580424319078778,73.264,3
"127",0.576,18805,"N",0.579318239309083,73.84,3
"128",0.58,18950,"N",0.579488679481812,74.42,3
"129",0.58,19095,"N",0.579616509611359,75,3
"130",0.58,19240,"N",0.579712382208519,75.58,3
"131",0.576,19384,"N",0.57878428665639,76.156,3
"132",0.58,19529,"N",0.579088214992292,76.736,3
"133",0.368,19621,"N",0.526316161244219,77.104,2
"134",0.688,19793,"N",0.566737120933164,77.792,1
"135",0.604,19944,"N",0.576052840699873,78.396,3
"136",0.584,20090,"N",0.578039630524905,78.98,3
"137",0.576,20234,"N",0.577529722893679,79.556,3
"138",0.576,20378,"N",0.577147292170259,80.1319999999999,3
"139",0.572,20521,"N",0.575860469127694,80.704,3
"140",0.576,20665,"N",0.575895351845771,81.2799999999999,3
"141",0.576,20809,"N",0.575921513884328,81.8559999999999,3
"142",0.576,20953,"N",0.575941135413246,82.4319999999999,3
"143",0.576,21097,"N",0.575955851559934,83.0079999999999,3
"144",0.572,21240,"N",0.574966888669951,83.5799999999999,3
"145",0.576,21384,"N",0.575225166502463,84.1559999999999,3
"146",0.568,21526,"N",0.573418874876847,84.7239999999999,3
"147",0.568,21668,"N",0.572064156157636,85.2919999999999,3
"148",0.568,21810,"N",0.571048117118227,85.8599999999999,3
"149",0.572,21953,"N",0.57128608783867,86.4319999999999,3
"150",0.472,22071,"N",0.546464565879002,86.9039999999999,3
"151",0.64,22231,"N",0.569848424409252,87.5439999999999,3
"152",0.368,22323,"N",0.519386318306939,87.9119999999999,2
"153",0.668,22490,"N",0.556539738730204,88.5799999999999,1
"154",0.584,22636,"N",0.563404804047653,89.1639999999999,3
"155",0.568,22778,"N",0.56455360303574,89.7319999999999,3
"156",0.576,22922,"N",0.567415202276805,90.3079999999999,3
"157",0.572,23065,"N",0.568561401707604,90.8799999999999,3
"158",0.568,23207,"N",0.568421051280703,91.4479999999999,3
"159",0.568,23349,"N",0.568315788460527,92.0159999999999,3
"160",0.564,23490,"N",0.567236841345395,92.5799999999999,3
"161",0.36,23580,"N",0.515427631009046,92.9399999999999,2
"162",0.66,23745,"N",0.551570723256785,93.5999999999999,1
"163",0.58,23890,"N",0.558678042442589,94.1799999999999,3
"164",0.6,24040,"N",0.569008531831941,94.7799999999999,3
"165",0.54,24175,"N",0.561756398873956,95.3199999999999,3
"166",0.56,24315,"N",0.561317299155467,95.8799999999999,3
"167",0.364,24406,"N",0.5119879743666,96.2439999999999,2
"168",0.664,24572,"N",0.54999098077495,96.9079999999999,1
