"","ID","ss","sr","sl","rs","rr","rl","ls","lr","ll"
"1","A00001",0.0263157894736842,0,0.0263157894736842,0.0263157894736842,0.894736842105263,0,0,0.0263157894736842,0
"2","A00002",0.216216216216216,0.027027027027027,0.0540540540540541,0.0540540540540541,0.378378378378378,0.027027027027027,0.027027027027027,0.027027027027027,0.189189189189189
"3","A00003",0.036144578313253,0.0240963855421687,0.0240963855421687,0.0481927710843374,0.783132530120482,0.0240963855421687,0,0.0481927710843374,0.0120481927710843
"4","A00004",0.0645161290322581,0.161290322580645,0,0.0967741935483871,0.290322580645161,0.161290322580645,0.0645161290322581,0.0967741935483871,0.0645161290322581
"5","A00005",0.293577981651376,0.073394495412844,0.073394495412844,0.110091743119266,0.165137614678899,0.073394495412844,0.036697247706422,0.110091743119266,0.0642201834862385
"6","A00006",0,0,0,0,1,0,0,0,0
"7","A00007",0,0,0,0,1,0,0,0,0
"8","A00008",0.028169014084507,0.0140845070422535,0.0845070422535211,0.0985915492957746,0.563380281690141,0.028169014084507,0,0.112676056338028,0.0704225352112676
"9","A00009",0.0212765957446809,0.0425531914893617,0.0425531914893617,0.0851063829787234,0.531914893617021,0.0851063829787234,0,0.127659574468085,0.0638297872340425
"10","A00010",0,0,0,0,0.890625,0.015625,0,0.015625,0.078125
"11","A00011",0,0.0555555555555556,0,0.0277777777777778,0.75,0.0555555555555556,0.0277777777777778,0.0277777777777778,0.0555555555555556
"12","A00012",0,0,0,0,1,0,0,0,0
"13","A00013",0,0,0,0,0.955555555555556,0.0222222222222222,0,0.0222222222222222,0
"14","A00014",0,0,0,0,1,0,0,0,0
"15","A00015",0.193548387096774,0.032258064516129,0.129032258064516,0.0645161290322581,0.0645161290322581,0.161290322580645,0.0967741935483871,0.193548387096774,0.0645161290322581
"16","A00016",0.025,0,0.025,0.025,0.9,0,0,0,0.025
"17","A00017",0.0394736842105263,0.0394736842105263,0.0131578947368421,0.0526315789473684,0.815789473684211,0.0131578947368421,0,0.0263157894736842,0
"18","A00018",0,0,0.461538461538462,0,0,0.0384615384615385,0.480769230769231,0.0192307692307692,0
"19","A00019",0.0217391304347826,0,0.0217391304347826,0.0217391304347826,0.91304347826087,0,0,0.0217391304347826,0
"20","A00020",0,0,0.027027027027027,0.027027027027027,0.918918918918919,0,0,0.027027027027027,0
"21","A00021",0,0,0,0,0.838709677419355,0.032258064516129,0,0.032258064516129,0.0967741935483871
"22","A00022",0.263157894736842,0.105263157894737,0.105263157894737,0.0789473684210526,0.131578947368421,0.0526315789473684,0.131578947368421,0,0.131578947368421
"23","A00023",0,0.0285714285714286,0.0285714285714286,0.0571428571428571,0.857142857142857,0,0,0.0285714285714286,0
"24","A00024",0.0294117647058824,0.0588235294117647,0.0294117647058824,0.0882352941176471,0.647058823529412,0.0588235294117647,0,0.0588235294117647,0.0294117647058824
"25","A00025",0,0,0.0333333333333333,0.0333333333333333,0.766666666666667,0,0,0.0333333333333333,0.133333333333333
"26","A00026",0,0,0,0,1,0,0,0,0
"27","A00027",0,0.204545454545455,0.0909090909090909,0.272727272727273,0.272727272727273,0,0.0227272727272727,0.0681818181818182,0.0681818181818182
"28","A00028",0,0,0,0,0.904761904761905,0.0158730158730159,0,0.0158730158730159,0.0634920634920635
"29","A00029",0,0,0,0,1,0,0,0,0
"30","A00030",0.126984126984127,0.0158730158730159,0.158730158730159,0.0476190476190476,0.19047619047619,0.0476190476190476,0.126984126984127,0.0793650793650794,0.206349206349206
"31","A00031",0.024390243902439,0.024390243902439,0,0.024390243902439,0.926829268292683,0,0,0,0
