"","RR","samp","afib","rmean","rsec","trans"
"1",0.548,276,"B",0.548,0.548,3
"2",0.588,423,"B",0.558,1.136,3
"3",0.62,578,"B",0.5735,1.756,3
"4",0.52,708,"B",0.560125,2.276,3
"5",0.52,838,"B",0.55009375,2.796,3
"6",0.492,961,"B",0.5355703125,3.288,3
"7",0.512,1089,"B",0.529677734375,3.8,3
"8",0.556,1228,"B",0.53625830078125,4.356,3
"9",0.552,1366,"B",0.540193725585937,4.908,3
"10",0.648,1528,"B",0.567145294189453,5.556,3
"11",0.584,1674,"B",0.57135897064209,6.14,3
"12",0.612,1827,"B",0.581519227981567,6.752,3
"13",0.492,1950,"B",0.559139420986176,7.244,3
"14",0.576,2094,"B",0.563354565739632,7.82,3
"15",0.628,2251,"B",0.579515924304724,8.448,3
"16",0.62,2406,"B",0.589636943228543,9.068,3
"17",0.568,2548,"B",0.584227707421407,9.636,3
"18",0.548,2685,"B",0.575170780566055,10.184,3
"19",0.472,2803,"B",0.549378085424542,10.656,3
"20",0.54,2938,"B",0.547033564068406,11.196,3
"21",0.636,3097,"B",0.569275173051305,11.832,3
"22",0.556,3236,"B",0.565956379788479,12.388,3
"23",0.712,3414,"B",0.602467284841359,13.1,1
"24",0.628,3571,"B",0.608850463631019,13.728,3
"25",0.66,3736,"B",0.621637847723264,14.388,3
"26",0.504,3862,"B",0.592228385792448,14.892,3
"27",0.536,3996,"B",0.578171289344336,15.428,3
"28",0.54,4131,"B",0.568628467008252,15.968,3
"29",0.688,4303,"B",0.598471350256189,16.656,3
"30",0.692,4476,"B",0.621853512692142,17.348,3
"31",0.676,4645,"B",0.635390134519106,18.024,3
"32",0.572,4788,"B",0.61954260088933,18.596,3
"33",0.556,4927,"B",0.603656950666997,19.152,3
"34",0.568,5069,"B",0.594742713000248,19.72,3
"35",0.528,5201,"B",0.578057034750186,20.248,3
"36",0.448,5313,"B",0.545542776062639,20.696,2
"37",0.548,5450,"B",0.54615708204698,21.244,3
"38",0.688,5622,"B",0.581617811535235,21.932,1
"39",0.584,5768,"B",0.582213358651426,22.516,3
"40",0.788,5965,"B",0.633660018988569,23.304,1
"41",0.66,6130,"B",0.640245014241427,23.964,3
"42",0.656,6294,"B",0.64418376068107,24.62,3
"43",0.484,6415,"B",0.604137820510803,25.104,2
"44",0.668,6582,"B",0.620103365383102,25.772,3
"45",0.648,6744,"B",0.627077524037327,26.42,3
"46",0.54,6879,"B",0.605308143027995,26.96,3
"47",0.564,7020,"B",0.594981107270996,27.524,3
"48",0.5,7145,"B",0.571235830453247,28.024,3
"49",0.54,7280,"B",0.563426872839935,28.564,3
"50",0.588,7427,"B",0.569570154629952,29.152,3
"51",0.444,7538,"B",0.538177615972464,29.596,2
"52",0.512,7666,"B",0.531633211979348,30.108,3
"53",0.608,7818,"B",0.550724908984511,30.716,3
"54",0.584,7964,"B",0.559043681738383,31.3,3
"55",0.48,8084,"B",0.539282761303787,31.78,3
"56",0.628,8241,"B",0.561462070977841,32.408,3
"57",0.552,8379,"B",0.55909655323338,32.96,3
"58",0.596,8528,"B",0.568322414925035,33.556,3
"59",0.524,8659,"B",0.557241811193776,34.08,3
"60",0.608,8811,"B",0.569931358395332,34.688,3
"61",0.556,8950,"B",0.566448518796499,35.244,3
"62",0.604,9101,"B",0.575836389097374,35.848,3
"63",0.556,9240,"B",0.570877291823031,36.404,3
"64",0.588,9387,"B",0.575157968867273,36.992,3
"65",0.6,9537,"B",0.581368476650455,37.592,3
"66",0.552,9675,"B",0.574026357487841,38.144,3
"67",0.692,9848,"B",0.603519768115881,38.836,3
"68",0.68,10018,"B",0.622639826086911,39.516,3
"69",0.624,10174,"B",0.622979869565183,40.14,3
"70",0.592,10322,"B",0.615234902173887,40.732,3
