0	-0.020	-5
-5	0.257	72
72	0.273	154
154	0.747	378
378	0.743	601
601	0.760	829
829	0.753	1055
1055	0.753	1281
1281	0.737	1502
1502	0.743	1725
1725	0.770	1956
1956	0.800	2196
2196	0.817	2441
2441	0.823	2688
2688	0.827	2936
2936	0.823	3183
3183	0.813	3427
3427	0.810	3670
3670	0.793	3908
3908	0.787	4144
4144	0.773	4376
4376	0.777	4609
4609	0.787	4845
4845	0.803	5086
5086	0.820	5332
5332	0.823	5579
5579	0.833	5829
5829	0.810	6072
6072	0.823	6319
6319	0.830	6568
6568	0.800	6808
6808	0.790	7045
7045	0.767	7275
7275	0.793	7513
7513	0.810	7756
7756	0.837	8007
8007	0.830	8256
8256	0.827	8504
8504	0.840	8756
