0	0.563	169
169	0.947	453
453	1.000	753
753	0.957	1040
1040	0.957	1327
1327	0.863	1586
1586	0.800	1826
1826	0.850	2081
2081	0.950	2366
2366	0.960	2654
2654	0.890	2921
2921	0.983	3216
3216	1.010	3519
3519	0.953	3805
3805	0.853	4061
4061	0.880	4325
4325	0.980	4619
4619	1.010	4922
4922	0.927	5200
5200	0.973	5492
5492	1.013	5796
5796	0.930	6075
6075	0.863	6334
6334	0.907	6606
6606	0.953	6892
6892	0.940	7174
7174	0.867	7434
7434	0.910	7707
7707	1.000	8007
8007	0.900	8277
8277	0.827	8525
8525	0.843	8778
