0	1.236	309
309	0.780	504
504	0.784	700
700	0.768	892
892	0.772	1085
1085	0.808	1287
1287	0.840	1497
1497	0.836	1706
1706	0.796	1905
1905	0.772	2098
2098	0.800	2298
2298	0.792	2496
2496	0.792	2694
2694	0.772	2887
2887	0.748	3074
3074	0.772	3267
3267	0.792	3465
3465	0.804	3666
3666	0.772	3859
3859	0.752	4047
4047	0.772	4240
4240	0.796	4439
4439	0.788	4636
4636	0.772	4829
4829	0.756	5018
5018	0.752	5206
5206	0.772	5399
5399	0.800	5599
5599	0.780	5794
5794	0.764	5985
5985	0.772	6178
6178	0.744	6364
6364	0.252	6427
6427	0.580	6572
6572	0.800	6772
6772	0.740	6957
6957	0.768	7149
7149	0.824	7355
7355	0.820	7560
7560	0.244	7621
7621	0.520	7751
7751	0.796	7950
7950	0.776	8144
8144	0.720	8324
8324	0.820	8529
8529	0.380	8624
8624	0.796	8823
8823	0.800	9023
9023	0.772	9216
9216	0.784	9412
9412	0.776	9606
9606	0.760	9796
9796	0.732	9979
9979	0.700	10154
10154	0.752	10342
10342	0.784	10538
10538	0.796	10737
10737	0.788	10934
10934	0.788	11131
11131	0.820	11336
11336	0.420	11441
11441	0.520	11571
11571	0.268	11638
11638	0.880	11858
11858	0.528	11990
11990	0.752	12178
12178	0.496	12302
12302	0.332	12385
12385	1.008	12637
12637	0.280	12707
12707	0.672	12875
12875	0.456	12989
12989	0.340	13074
13074	0.208	13126
13126	0.220	13181
13181	0.408	13283
13283	0.432	13391
13391	0.392	13489
13489	0.660	13654
13654	0.728	13836
13836	0.632	13994
13994	0.508	14121
14121	0.640	14281
14281	0.316	14360
14360	0.572	14503
14503	0.576	14647
14647	0.460	14762
14762	0.424	14868
14868	0.416	14972
14972	0.320	15052
15052	0.324	15133
15133	0.624	15289
15289	0.300	15364
15364	0.760	15554
15554	0.404	15655
15655	0.356	15744
15744	0.480	15864
15864	0.428	15971
15971	0.512	16099
16099	0.364	16190
16190	0.384	16286
16286	0.664	16452
16452	0.312	16530
16530	0.316	16609
16609	0.352	16697
16697	0.504	16823
16823	0.376	16917
16917	0.276	16986
16986	0.304	17062
17062	0.332	17145
17145	0.496	17269
17269	0.388	17366
17366	0.256	17430
17430	0.308	17507
17507	0.356	17596
17596	0.456	17710
17710	0.360	17800
17800	0.616	17954
17954	0.312	18032
18032	0.492	18155
18155	0.416	18259
18259	0.388	18356
18356	0.468	18473
18473	0.508	18600
18600	0.360	18690
18690	0.280	18760
18760	0.312	18838
18838	0.396	18937
18937	0.480	19057
19057	0.328	19139
19139	0.284	19210
19210	0.288	19282
19282	0.268	19349
19349	0.288	19421
19421	0.336	19505
19505	0.544	19641
19641	0.388	19738
19738	0.292	19811
19811	0.304	19887
19887	0.288	19959
19959	0.300	20034
20034	0.288	20106
20106	0.288	20178
20178	0.404	20279
20279	0.436	20388
20388	0.344	20474
20474	0.316	20553
20553	0.452	20666
20666	0.448	20778
20778	0.528	20910
20910	0.328	20992
20992	0.400	21092
21092	0.312	21170
21170	0.272	21238
21238	0.444	21349
21349	0.316	21428
21428	0.312	21506
21506	0.316	21585
21585	0.668	21752
21752	0.220	21807
21807	0.672	21975
21975	0.616	22129
22129	0.556	22268
22268	0.656	22432
22432	0.544	22568
22568	0.508	22695
22695	0.356	22784
22784	0.448	22896
22896	0.452	23009
23009	0.316	23088
23088	0.284	23159
23159	0.280	23229
23229	0.288	23301
23301	0.436	23410
23410	0.424	23516
23516	0.428	23623
23623	0.488	23745
23745	0.324	23826
23826	0.316	23905
23905	0.508	24032
24032	0.340	24117
24117	0.428	24224
24224	0.404	24325
24325	0.644	24486
24486	0.296	24560
24560	0.412	24663
24663	0.484	24784
24784	0.548	24921
24921	0.340	25006
25006	0.296	25080
25080	0.544	25216
25216	0.280	25286
25286	0.408	25388
25388	0.412	25491
25491	0.356	25580
25580	0.328	25662
25662	0.312	25740
25740	0.300	25815
25815	0.608	25967
25967	0.536	26101
26101	0.336	26185
26185	0.420	26290
26290	0.416	26394
26394	0.312	26472
26472	0.292	26545
26545	0.300	26620
26620	0.284	26691
26691	0.292	26764
26764	0.344	26850
