0	0.757	227
227	0.903	498
498	0.903	769
769	0.910	1042
1042	0.900	1312
1312	0.907	1584
1584	0.907	1856
1856	0.907	2128
2128	0.907	2400
2400	0.913	2674
2674	0.900	2944
2944	0.910	3217
3217	0.793	3455
3455	0.790	3692
3692	0.777	3925
3925	0.860	4183
4183	0.877	4446
4446	0.893	4714
4714	0.910	4987
4987	0.910	5260
5260	0.903	5531
5531	0.910	5804
5804	0.907	6076
6076	0.903	6347
6347	0.907	6619
6619	0.903	6890
6890	0.903	7161
7161	0.900	7431
7431	0.907	7703
7703	0.907	7975
7975	0.907	8247
8247	0.903	8518
8518	0.907	8790
