"","RR","samp","afib","rmean","rsec","trans"
"1",1.036,466,"N",1.036,1.036,2
"2",1.032,724,"N",1.035,2.068,2
"3",1.04,984,"N",1.03625,3.108,2
"4",1.036,1243,"N",1.0361875,4.144,2
"5",1.036,1502,"N",1.036140625,5.18,2
"6",1.04,1762,"N",1.03710546875,6.22,2
"7",1.044,2023,"N",1.0388291015625,7.264,2
"8",1.04,2283,"N",1.03912182617188,8.304,2
"9",1.036,2542,"N",1.03834136962891,9.34,2
"10",1.044,2803,"N",1.03975602722168,10.384,2
"11",1.04,3063,"N",1.03981702041626,11.424,2
"12",1.044,3324,"N",1.04086276531219,12.468,2
"13",1.04,3584,"N",1.04064707398415,13.508,2
"14",1.052,3847,"N",1.04348530548811,14.56,2
"15",1.052,4110,"N",1.04561397911608,15.612,2
"16",1.048,4372,"N",1.04621048433706,16.66,2
"17",1.06,4637,"N",1.0496578632528,17.72,2
"18",1.048,4899,"N",1.0492433974396,18.768,2
"19",1.064,5165,"N",1.0529325480797,19.832,2
"20",1.036,5424,"N",1.04869941105977,20.868,2
"21",1.056,5688,"N",1.05052455829483,21.924,2
"22",1.048,5950,"N",1.04989341872112,22.972,2
"23",1.06,6215,"N",1.05242006404084,24.032,2
"24",1.056,6479,"N",1.05331504803063,25.088,2
"25",1.048,6741,"N",1.05198628602297,26.136,2
"26",1.076,7010,"N",1.05798971451723,27.212,2
"27",1.076,7279,"N",1.06249228588792,28.288,2
"28",1.06,7544,"N",1.06186921441594,29.348,2
"29",1.06,7809,"N",1.06140191081196,30.408,2
"30",1.068,8076,"N",1.06305143310897,31.476,2
"31",1.064,8342,"N",1.06328857483173,32.54,2
"32",1.06,8607,"N",1.06246643112379,33.6,2
"33",1.064,8873,"N",1.06284982334285,34.664,2
"34",1.072,9141,"N",1.06513736750713,35.736,2
"35",1.064,9407,"N",1.06485302563035,36.8,2
"36",1.056,9671,"N",1.06263976922276,37.856,2
"37",1.048,9933,"N",1.05897982691707,38.904,2
"38",1.056,10197,"N",1.0582348701878,39.96,2
"39",1.036,10456,"N",1.05267615264085,40.996,2
"40",1.06,10721,"N",1.05450711448064,42.056,2
"41",1.048,10983,"N",1.05288033586048,43.104,2
"42",1.056,11247,"N",1.05366025189536,44.16,2
"43",1.048,11509,"N",1.05224518892152,45.208,2
"44",1.044,11770,"N",1.05018389169114,46.252,2
"45",1.06,12035,"N",1.05263791876835,47.312,2
"46",1.056,12299,"N",1.05347843907627,48.368,2
"47",1.044,12560,"N",1.0511088293072,49.412,2
"48",1.052,12823,"N",1.0513316219804,50.464,2
"49",1.06,13088,"N",1.0534987164853,51.524,2
"50",1.052,13351,"N",1.05312403736397,52.576,2
"51",1.048,13613,"N",1.05184302802298,53.624,2
"52",1.048,13875,"N",1.05088227101724,54.672,2
"53",1.048,14137,"N",1.05016170326293,55.72,2
"54",1.044,14398,"N",1.0486212774472,56.764,2
"55",0.94,14633,"N",1.0214659580854,57.704,2
"56",1.128,14915,"N",1.04809946856405,58.832,2
"57",1.056,15179,"N",1.05007460142304,59.888,2
