"","RR","samp","afib","rmean","rsec","trans"
"1",0.636,174,"B",0.636,0.636,2
"2",0.716,353,"B",0.656,1.352,2
"3",0.628,510,"B",0.649,1.98,2
"4",0.716,689,"B",0.66575,2.696,2
"5",0.624,845,"B",0.6553125,3.32,2
"6",0.552,983,"B",0.629484375,3.872,2
"7",0.76,1173,"B",0.66211328125,4.632,2
"8",0.716,1352,"B",0.6755849609375,5.348,2
"9",0.728,1534,"B",0.688688720703125,6.076,2
"10",0.752,1722,"B",0.704516540527344,6.828,2
"11",0.584,1868,"B",0.674387405395508,7.412,2
"12",0.704,2044,"B",0.681790554046631,8.116,2
"13",0.668,2211,"B",0.678342915534973,8.784,2
"14",0.532,2344,"B",0.64175718665123,9.316,3
"15",0.532,2477,"B",0.614317889988423,9.848,2
"16",0.704,2653,"B",0.636738417491317,10.552,2
"17",0.552,2791,"B",0.615553813118488,11.104,2
"18",0.608,2943,"B",0.613665359838866,11.712,2
"19",0.528,3075,"B",0.592249019879149,12.24,2
"20",0.684,3246,"B",0.615186764909362,12.924,2
"21",0.712,3424,"B",0.639390073682021,13.636,2
"22",0.84,3634,"B",0.689542555261516,14.476,1
"23",0.748,3821,"B",0.704156916446137,15.224,2
"24",0.756,4010,"B",0.717117687334603,15.98,2
"25",0.684,4181,"B",0.708838265500952,16.664,2
"26",0.676,4350,"B",0.700628699125714,17.34,2
"27",0.588,4497,"B",0.672471524344286,17.928,2
"28",0.548,4634,"B",0.641353643258214,18.476,2
"29",0.616,4788,"B",0.635015232443661,19.092,2
"30",0.848,5000,"B",0.688261424332746,19.94,1
"31",0.636,5159,"B",0.675196068249559,20.576,2
"32",0.628,5316,"B",0.663397051187169,21.204,2
"33",0.528,5448,"B",0.629547788390377,21.732,3
"34",0.628,5605,"B",0.629160841292783,22.36,2
"35",0.768,5797,"B",0.663870630969587,23.128,1
"36",0.744,5983,"B",0.68390297322719,23.872,2
"37",0.728,6165,"B",0.694927229920393,24.6,2
"38",0.636,6324,"B",0.680195422440295,25.236,2
"39",1.14,6609,"B",0.795146566830221,26.376,1
"40",0.624,6765,"B",0.752359925122666,27,3
"41",0.624,6921,"B",0.720269943841999,27.624,2
"42",0.62,7076,"B",0.695202457881499,28.244,2
